channel,campaign,impression,clicks,spend,attributed_revenue,ctr,cpc,cpm,roas,spend_share,rev_share
Facebook,Facebook - Prospecting - C04,24836257,372972,245671.48,682168.92,0.015017238708715247,0.6586861212101713,9.891646716330886,2.7767525965977002,0.046720668336551086,0.04617487728350528
Facebook,Facebook - Prospecting - C08,24322808,364029,243471.53,673035.86,0.014966569649359563,0.6688245441984018,10.010009123946544,2.76433084393892,0.04630229199792604,0.045556675673377844
Facebook,Facebook - ASC - C01,22800743,341217,230913.93,648669.4,0.014965170213970659,0.676736299774044,10.127473916091244,2.809139318706325,0.04391414558099936,0.04390735060542629
Facebook,Facebook - Prospecting - C02,23578952,281293,230907.57,551654.83,0.01192983471021104,0.8208791900260582,9.792953054062792,2.3890720862897648,0.04391293606554963,0.03734059604782781
Facebook,Facebook - ASC - C06,22756998,340193,226439.24,635306.84,0.014948940101853504,0.6656199275117359,9.950312426973014,2.80563934060192,0.04306316968669172,0.043002861189236706
Facebook,Facebook - Prospecting - C09,20648285,246816,209630.63,505623.02,0.011953341403414376,0.8493397105536108,10.152447527724458,2.411971094109673,0.039866585805614294,0.034224779546120826
Facebook,Facebook - ASC - C10,20812160,248136,201259.07,488102.11,0.011922645222792828,0.8110837202179451,9.670263442141517,2.4252427977531643,0.03827452115806328,0.03303881834878961
Facebook,Facebook - ASC - C07,19742506,296668,199603.62,561227.16,0.015026866396798866,0.6728181671093613,10.110348706491466,2.81170832472878,0.03795969531666832,0.03798853111216234
Facebook,Facebook - ASC - C05,20480178,243929,197869.77,474699.69,0.01191049218419879,0.8111777197463196,9.661525891034737,2.399051103157395,0.03762995972507532,0.03213163087563121
Google,Google - Non-Branded Search - C10,27363084,1247079,189084.43,612388.08,0.04557523559844351,0.1516218539483064,6.910201715566856,3.2387017799403153,0.03595920430664483,0.04145152852153013
Facebook,Facebook - Prospecting - C03,18643063,223325,184206.07,436892.36,0.011978986500233357,0.8248340758983544,9.880676260118845,2.3717587590897518,0.035031460314601894,0.0295725157181025
Google,Google - Non-Branded Search - C04,27406780,1229926,182305.02,576406.08,0.04487670569107352,0.14822438097901824,6.651821921436959,3.1617674598318795,0.03466992739860692,0.03901596690958351
Google,Google - Display - C08,27325798,1235347,178289.71,570905.93,0.045208085048422005,0.14432358681406923,6.52459298718376,3.202124957183452,0.03390631427274291,0.03864367092270263
Google,Google - Non-Branded Search - C05,28145445,1265486,177423.48,565721.57,0.044962373130003806,0.1402018513045581,6.303807951872852,3.1885383490392587,0.033741578648839116,0.03829275023462215
Google,Google - Non-Branded Search - C02,26843454,1208093,170498.05,536023.83,0.04500512489935163,0.1411299047341554,6.35156898959426,3.14387073635153,0.032424532331057326,0.03628255970864884
TikTok,TikTok - Spark Ads - C09,18853669,299572,161154.44,488560.6,0.015889321065305644,0.5379489404884301,8.547643432161665,3.0316297832067174,0.03064760770034284,0.03306985277276441
TikTok,TikTok - Spark Ads - C05,20240839,261953,160168.0,381257.4,0.01294180542614859,0.611437929704947,7.913110716408545,2.3803593726587087,0.03046001109338664,0.025806677997625992
Google,Google - Display - C09,23674603,1071822,156435.02,505832.97000000003,0.04527307173852081,0.14595242493623006,6.6077146045490185,3.2335021275926583,0.02975009018402028,0.03423899071171552
TikTok,TikTok - Spark Ads - C08,19255232,306939,151421.39,457596.0,0.01594055059944227,0.4933273060771033,7.863908884608609,3.0220036944582267,0.028796621167624152,0.030973910604755902
Google,Google - Non-Branded Search - C03,22986972,1040294,149722.12,477480.21,0.045255808377023296,0.14392289102888223,6.513346777470299,3.1891093313399517,0.02847346184085064,0.03231983964038164
Google,Google - Display - C01,22503742,1011837,148158.63,480235.27,0.0449630554776179,0.14642539262746865,6.583733052040857,3.241358738265871,0.028176124527876774,0.032506325060164015
TikTok,TikTok - Spark Ads - C04,18692796,240754,146365.7,351946.13,0.012879507164150296,0.6079471161434494,7.830059237794067,2.4045669852977847,0.02783515337452738,0.02382264698185692
TikTok,TikTok - Retargeting - C10,17695782,284285,145714.3,435204.51,0.01606512783667882,0.5125641521712365,8.234408629129812,2.986697324833596,0.027711273128621625,0.029458267964594526
Google,Google - Non-Branded Search - C06,21963777,87284,145416.38,232587.2,0.003973997732721471,1.6660141606709133,6.620736497188075,1.5994566774389516,0.027654616077869034,0.015743439935249612
Google,Google - Display - C07,23290170,1043896,144200.02,461374.24,0.04482131302605348,0.13813638523377808,6.191454162850679,3.199543522948194,0.027423294346352423,0.031229653373493635
TikTok,TikTok - Retargeting - C01,17641745,282464,142606.99,434245.19,0.016011114546775278,0.5048678415656508,8.083496842290828,3.045048422941961,0.027120339252500358,0.02939333319260929
TikTok,TikTok - Retargeting - C02,16878747,269509,137942.56,420868.92,0.015967358240513943,0.5118291411418543,8.172559254546561,3.0510447247028036,0.02623327948060881,0.028487915769368967
TikTok,TikTok - Retargeting - C03,17441937,225592,137479.19,333275.18,0.012933884579447798,0.6094151831625235,7.8821056399871186,2.4241863804987505,0.026145157912378314,0.022558841493596823
TikTok,TikTok - Retargeting - C07,17252210,276948,134915.47,404518.05,0.01605289988934751,0.48715090919595017,7.820184776327207,2.9983073846164565,0.025657601473886623,0.02738115262963439
TikTok,TikTok - Spark Ads - C06,15884984,253769,129030.25,389787.1,0.01597540167494031,0.5084555245124504,8.122781237928852,3.0208970377101494,0.024538377493522126,0.026384039174920777
