date,channel,impression,clicks,spend,attributed_revenue
2025-05-16,Facebook,1475903,19638,15440.67,40775.59
2025-05-16,Google,2033462,83448,12669.470000000001,36422.52
2025-05-16,TikTok,1432113,22237,11997.119999999999,33083.74
2025-05-17,Facebook,1677399,21777,17210.84,42695.57
2025-05-17,Google,1905351,79998,13250.04,39544.909999999996
2025-05-17,TikTok,1462304,22458,11222.08,32161.149999999998
2025-05-18,Facebook,1687499,23297,17492.64,46380.880000000005
2025-05-18,Google,1880528,76834,12191.8,40701.78
2025-05-18,TikTok,1689160,25233,13274.73,36594.92
2025-05-19,Facebook,1600554,21285,16296.34,42482.04
2025-05-19,Google,1679868,70965,12085.4,37043.71
2025-05-19,TikTok,1487766,23141,11556.3,31943.61
2025-05-20,Facebook,1642554,21760,14728.15,39414.45
2025-05-20,Google,1846924,68390,8239.23,23916.8
2025-05-20,TikTok,1321766,18956,10250.380000000001,28846.97
2025-05-21,Facebook,1734795,23840,18150.58,46508.97
2025-05-21,Google,1907229,75837,13044.49,38782.11
2025-05-21,TikTok,1545500,22756,11606.07,32778.01
2025-05-22,Facebook,1858669,25347,15581.33,40043.08
2025-05-22,Google,1807037,74245,9501.57,29695.73
2025-05-22,TikTok,1394802,20474,10031.68,28759.68
2025-05-23,Facebook,1662268,22306,17741.35,44653.05
2025-05-23,Google,1878314,77937,11281.710000000001,35812.92
2025-05-23,TikTok,1235730,17952,9246.03,26594.03
2025-05-24,Facebook,1814306,23800,20450.54,51635.81
2025-05-24,Google,2338448,87491,16672.559999999998,48831.380000000005
2025-05-24,TikTok,1312123,19457,9958.19,26860.3
2025-05-25,Facebook,1895796,27089,17109.46,45619.490000000005
2025-05-25,Google,1618717,65437,9933.56,28777.52
2025-05-25,TikTok,1228294,18770,11440.78,31566.91
2025-05-26,Facebook,1644416,22111,17864.7,44773.07
2025-05-26,Google,2044846,85942,15042.199999999999,45460.51
2025-05-26,TikTok,1272066,19509,8944.52,25378.670000000002
2025-05-27,Facebook,1473003,19623,15354.36,40557.05
2025-05-27,Google,2059053,82161,12996.69,38303.0
2025-05-27,TikTok,1293611,19181,9171.33,25628.67
2025-05-28,Facebook,2195486,28650,22933.64,60103.03
2025-05-28,Google,1933361,79491,11975.720000000001,35330.2
2025-05-28,TikTok,1380454,20748,11276.07,30980.0
2025-05-29,Facebook,1889969,26086,17945.64,51222.71
2025-05-29,Google,2245351,91001,14678.01,45382.84
2025-05-29,TikTok,1398315,20832,11936.75,33013.47
2025-05-30,Facebook,1881567,25882,21853.42,56279.19
2025-05-30,Google,2119787,82834,13900.16,42726.52
2025-05-30,TikTok,1294821,20018,11223.81,30421.31
2025-05-31,Facebook,1970971,26014,19538.88,48808.11
2025-05-31,Google,2181961,96753,14261.39,45057.53
2025-05-31,TikTok,1367170,21085,10986.25,31537.89
2025-06-01,Facebook,1550987,21220,14544.8,37540.74
2025-06-01,Google,2656182,115515,19515.7,62804.29
2025-06-01,TikTok,1529877,24316,11330.96,33275.68
2025-06-02,Facebook,1875244,25943,19793.6,51274.130000000005
2025-06-02,Google,2431267,103246,14527.65,44815.15
2025-06-02,TikTok,1599696,23795,11786.550000000001,33248.4
2025-06-03,Facebook,1763014,24590,18187.96,49315.66
2025-06-03,Google,2230394,95081,16903.6,51394.229999999996
2025-06-03,TikTok,1899100,28321,16141.08,43975.7
2025-06-04,Facebook,2077409,27733,20694.75,53614.32
2025-06-04,Google,2306978,99256,12344.24,40566.11
2025-06-04,TikTok,1679443,26453,13785.98,39014.29
2025-06-05,Facebook,1828871,25849,19877.809999999998,51215.65
2025-06-05,Google,2060287,86394,13247.17,40585.67
2025-06-05,TikTok,1632773,24671,14258.560000000001,41430.11
2025-06-06,Facebook,2106135,27672,23023.78,59690.92
2025-06-06,Google,2389551,94437,16026.64,46411.020000000004
2025-06-06,TikTok,1463636,22109,12749.84,36654.36
2025-06-07,Facebook,2137730,29275,19443.52,51955.67
2025-06-07,Google,2475095,93205,15202.73,44811.58
2025-06-07,TikTok,1242993,18515,10125.51,29485.61
2025-06-08,Facebook,2159143,29714,19597.98,51055.9
2025-06-08,Google,2681840,112855,15928.72,48310.4
2025-06-08,TikTok,1642063,24882,10991.53,31779.57
2025-06-09,Facebook,2021627,27315,19312.14,51243.22
2025-06-09,Google,2390761,101934,17829.22,55818.86
2025-06-09,TikTok,1762025,26910,15541.65,46273.61
2025-06-10,Facebook,1978585,27447,19202.17,53349.479999999996
2025-06-10,Google,1616004,69277,10381.06,31959.3
2025-06-10,TikTok,1459745,21530,11286.08,30626.829999999998
2025-06-11,Facebook,1610079,22446,17013.56,44244.76
2025-06-11,Google,3103060,130189,19819.89,59644.11
2025-06-11,TikTok,1887816,27356,14669.86,41314.37
2025-06-12,Facebook,1843773,24458,17842.25,48411.04
2025-06-12,Google,2168606,90047,14601.02,46848.91
2025-06-12,TikTok,1441919,22237,12366.92,32735.22
2025-06-13,Facebook,2003913,27855,20376.36,50670.45
2025-06-13,Google,2226653,96057,16996.62,52094.96
2025-06-13,TikTok,1727674,26089,13108.62,37794.01
2025-06-14,Facebook,1805376,24181,18749.71,48464.21
2025-06-14,Google,2354833,93831,16740.989999999998,51203.4
2025-06-14,TikTok,1498004,22754,10599.26,30058.26
2025-06-15,Facebook,1884583,24918,18580.24,47109.35
2025-06-15,Google,1980315,82514,14625.23,45414.54
2025-06-15,TikTok,1439541,22060,11391.62,30806.76
2025-06-16,Facebook,1984820,26938,19931.45,45801.29
2025-06-16,Google,1759692,76935,11378.17,37287.62
2025-06-16,TikTok,1391870,21489,10596.72,30439.29
2025-06-17,Facebook,1977295,26602,19362.98,51031.44
2025-06-17,Google,1872428,79101,12998.95,41143.45
2025-06-17,TikTok,1265864,19447,10033.23,28175.25
2025-06-18,Facebook,1576599,21583,14182.36,37535.36
2025-06-18,Google,2016607,86785,14826.369999999999,44296.86
