channel,campaign,impression,clicks,spend,attributed_revenue,ctr,cpc,cpm,roas,spend_share,rev_share
Google,Google - Non-Branded Search - C06,21963777,87284,145416.38,232587.2,0.003973997732721471,1.6660141606709133,6.620736497188075,1.5994566774389516,0.027654616077869034,0.015743439935249612
Facebook,Facebook - Prospecting - C03,18643063,223325,184206.07,436892.36,0.011978986500233357,0.8248340758983544,9.880676260118845,2.3717587590897518,0.035031460314601894,0.0295725157181025
TikTok,TikTok - Spark Ads - C05,20240839,261953,160168.0,381257.4,0.01294180542614859,0.611437929704947,7.913110716408545,2.3803593726587087,0.03046001109338664,0.025806677997625992
Facebook,Facebook - Prospecting - C02,23578952,281293,230907.57,551654.83,0.01192983471021104,0.8208791900260582,9.792953054062792,2.3890720862897648,0.04391293606554963,0.03734059604782781
Facebook,Facebook - ASC - C05,20480178,243929,197869.77,474699.69,0.01191049218419879,0.8111777197463196,9.661525891034737,2.399051103157395,0.03762995972507532,0.03213163087563121
TikTok,TikTok - Spark Ads - C04,18692796,240754,146365.7,351946.13,0.012879507164150296,0.6079471161434494,7.830059237794067,2.4045669852977847,0.02783515337452738,0.02382264698185692
Facebook,Facebook - Prospecting - C09,20648285,246816,209630.63,505623.02,0.011953341403414376,0.8493397105536108,10.152447527724458,2.411971094109673,0.039866585805614294,0.034224779546120826
TikTok,TikTok - Retargeting - C03,17441937,225592,137479.19,333275.18,0.012933884579447798,0.6094151831625235,7.8821056399871186,2.4241863804987505,0.026145157912378314,0.022558841493596823
Facebook,Facebook - ASC - C10,20812160,248136,201259.07,488102.11,0.011922645222792828,0.8110837202179451,9.670263442141517,2.4252427977531643,0.03827452115806328,0.03303881834878961
Facebook,Facebook - Prospecting - C08,24322808,364029,243471.53,673035.86,0.014966569649359563,0.6688245441984018,10.010009123946544,2.76433084393892,0.04630229199792604,0.045556675673377844
